"Market Day	",Hour Ending,MWh
41694,19,2367.22
41694,20,2281.8
41694,21,2450.62
41694,22,2835.4
41694,23,3468.69
41694,24,3864.14
41695,1,4233.93
41695,2,4597.22
41695,3,5186.43
41695,4,5673.64
41695,5,6160.49
41695,6,6043.33
41695,7,5742.33
41695,8,5474.97
41695,9,5397.82
41695,10,5008.75
41695,11,4619.79
41695,12,4917.9
41695,13,5392.46
41695,14,6465.72
41695,15,7403.64
41695,16,8050.49
41695,17,8464.51
41695,18,8467.24
41695,19,8197.18
41695,20,7977.34
41695,21,7938.4
41695,22,7937.4
41695,23,7965.03
41695,24,7988.83
41696,1,7900.34
41696,2,7697.84
41696,3,7121.17
41696,4,6555.25
41696,5,5909.64
41696,6,5654.54
41696,7,5699.73
41696,8,6011.84
41696,9,6074.97
41696,10,6361.22
41696,11,6877.88
41696,12,7865.02
41696,13,8601.22
41696,14,9532.91
41696,15,9472.96
41696,16,9463.33
41696,17,9648.46
41696,18,9630.75
41696,19,9555.54
41696,20,9486.46
41696,21,9711.85
41696,22,9425.21
41696,23,9296.43
41696,24,8778.95
41697,1,8412.53
41697,2,7573.85
41697,3,7459.79
41697,4,7305.78
41697,5,7192.58
41697,6,7025.26
41697,7,6804.93
41697,8,6183.68
41697,9,5206.69
41697,10,4048.96
41697,11,2970.48
41697,12,2040.01
41697,13,1667.52
41697,14,1574.42
41697,15,1544.48
41697,16,1499.34
41697,17,1479.56
41697,18,1508.99
41697,19,1709.3
41697,20,2195.98
41697,21,2866.02
41697,22,3468.5
41697,23,4256.87
41697,24,5062.14
41698,1,5460.62
41698,2,5684.71
